Searchterm,Impressions,Clicks,Cost,Conversions,ConversionValue,CTR,CPC,CostPerConversion,Campaigns,AdGroups,MatchedKeywords,MatchTypes,QueryTargetingStatuses,NumRows
post menopause doctor near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,phrase (close variant),None,1
post menopause supplements,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
postmenopausal hormonal imbalance,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
pre menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
pregnancy acupuncture near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's naturopath near me,broad,None,1
pregnenolone cream,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
pregnenolone perimenopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
premature ovarian failure,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
premenopausal,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
premenopause,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | naturopath for hormones,broad,None,2
premenstrual dysphoric disorder treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
premier women's health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,Excluded,1
premier women's health of mn,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
prenatal acupuncture,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
private fertility treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for fertility,broad,None,1
professional for women's health,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
prolapsed uterus treatment at home,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath | women's naturopath near me,broad,None,2
que es el reemplazo hormonal,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
que son los sofocos en la menopausia,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
radiance from within,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
rahel rothschild md,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath | women's health naturopath,broad,None,2
regulate metabolism,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
reproductive clinic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
reproductive endocrinologist,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for menopause | women's naturopath near me,broad,None,2
reproductive immunologist,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones | women's health naturopath,broad,None,2
restorative wellness,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
rosanne austin,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
sarah manneh,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | naturopath for women's health | women's hormone specialist near me,broad,None,3
seed cycling for perimenopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
sex binding hormone globulin high,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
should i take estrogen,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
side effects of women using testosterone cream,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
signs i m starting menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
signs of early menopause at 37,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
signs of high estrogen in women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
signs of hormonal imbalance in women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
signs of infertility in women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
signs of menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
signs of pcos,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
signs of perimenopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
signs of perimenopause at 35,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
signs you have a hormonal imbalance,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health,broad,None,1
sisters nutrition pcos,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
sliding scale women's clinic near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
slippery elm benefits for woman,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
smaller sam pcos,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
smear test,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
sotto pelle,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
southdale obgyn,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones | hormone doctor near me,broad,None,2
southdale women's clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
soy estrogen menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,phrase (close variant),None,1
st paul clinic dr yang,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
stages of menopause,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause | women's hormone specialist near me,broad,None,2
starting hormone therapy in perimenopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
stress and hair loss in females,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
subclinical hypothyroidism,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath,broad,None,1
surgical menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
symptoms of low estrogen,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
symptoms of perimenopause,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause | women's health naturopath,broad,None,2
t4,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
take hormone,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me | functional medicine for hormones | functional medicine hormones | naturopath for hormone imbalance,broad,None,4
take hormone 2,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
taking hormones,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones,broad,None,1
tamara fuller eddins,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
tengo 46 años y no me viene la regla,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
test for cortisol levels,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
test for pcos,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
testosterone booster for women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
testosterone for women,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me | hormone doctor near me,broad,None,2
testosterone for women benefits,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
testosterone for women in menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
testosterone for women in perimenopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
testosterone injections for women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
testosterone panel for women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's naturopath near me,broad,None,1
testosterone pellets for females,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
tfc doctor,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for fertility,broad,None,1
the dutch test cost,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
the dutch test hormones,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
the hormone cure sara gottfried,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
the integrative women's health institute,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
the midst,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath | women's naturopath near me,broad,None,2
the woman clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for menopause,broad,None,1
thermiva treatment near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
thevaginewhisperer,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
thin bloody discharge,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
thrive womens,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
throat pain and thyroid,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath,broad,None,1
thyroid,5,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath | functional medicine for hormones | hormone doctor near me | naturopath for hormone imbalance | naturopath for hormones,broad,None,5
thyroid cause weight gain,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath,broad,None,1
thyroid issues in women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
thyroid masterclass,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones,broad,None,1
thyroid naturopathic doctor,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,phrase (close variant),None,1
thyroid near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath | hormone doctor near me,broad,None,2
thyroid problems in women,4,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | naturopath for women's health | women's health naturopath | women's hormone specialist near me,broad,None,4
thyroid specialists,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
thyroid sweating treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
thyroid symptoms in female treatment,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's naturopath near me,broad,None,1
thyroid test near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,Hashimoto's naturopath,broad,None,1
tips for dealing with menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
top menopause doctors near me,3,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me | naturopath for hormone imbalance | naturopath for women's health,broad | phrase (close variant),None,3
top pcos specialists near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance | pcos specialist near me,broad | exact (close variant),None,2
treating fibroids,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
treatment for irregular periods,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
treatment for pcos,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for women's health,broad,None,1
treatment of thyroid nodules,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
treatment perimenopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
treatments for pcos,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
troche hormone replacement,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones,broad,None,1
true clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
try her com,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath near me,broad,None,1
tsh blood test,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
tsh levels,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
ttc tips,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
tubal ligation possible to get pregnant,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,fertility naturopath near me,broad,None,1
upper abdominal pain before period,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
urogynecologist specialist near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
urogynecologists near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
uterine ablation procedure,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
uterine fibroids and perimenopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
vaginal restoration,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
vaginismus,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
veozah,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine for hormones | hormone doctor near me,broad,None,2
versily,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
vigina exam,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,hormone doctor near me,broad,None,1
vital hormone clinic,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormones,broad,None,1
vitamin b9,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,naturopath for hormone imbalance,broad,None,1
vtone near me,2,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath | women's hormone specialist near me,broad,None,2
vulvovaginal specialist near me,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
weight loss programs,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,functional medicine hormones,broad,None,1
what age can you start early menopause,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's hormone specialist near me,broad,None,1
what age do women start getting hot flashes,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
what age does menopause start for women,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,female naturopath,broad,None,1
what age does perimenopause start,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,natural help for menopause,broad,None,1
what are all the hormones in a female body,1,0,0.0,0.0,0.0,0.0,0,,Leads-Search-1,Women's Health & Hormones,women's health naturopath,broad,None,1
